Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,THROWS
1,SP,Max Scherzer,33,18,7,.720,2.53,33,33,0,2,1,0,220.2,150,66,62,23,51,4,300,12,1,4,866,168,2.65,0.911,6.1,0.9,2.1,12.2,5.88,RIGHT
2,SP,Tanner Roark,31,9,15,.375,4.34,31,30,1,0,0,0,180.1,181,90,87,24,50,3,146,10,0,5,760,98,4.27,1.281,9.0,1.2,2.5,7.3,2.92,RIGHT
3,SP,Gio Gonzalez,32,7,11,.389,4.57,27,27,0,0,0,0,145.2,153,77,74,15,70,2,126,2,0,4,646,93,4.25,1.531,9.5,0.9,4.3,7.8,1.80,LEFT
4,SP,Stephen Strasburg,29,10,7,.588,3.74,22,22,0,0,0,0,130.0,118,59,54,18,38,2,156,8,1,5,544,114,3.62,1.200,8.2,1.2,2.6,10.8,4.11,RIGHT
5,SP,Jeremy Hellickson,31,5,3,.625,3.45,19,19,0,0,0,0,91.1,78,41,35,11,20,1,65,8,1,2,370,123,4.22,1.073,7.7,1.1,2.0,6.4,3.25,RIGHT
6,SP,Erick Fedde,25,2,4,.333,5.54,11,11,0,0,0,0,50.1,55,31,31,8,22,1,46,0,1,0,217,77,4.71,1.530,9.8,1.4,3.9,8.2,2.09,RIGHT
7,CL,Sean Doolittle,31,3,3,.500,1.60,43,0,35,0,0,25,45.0,21,8,8,3,6,1,60,2,0,1,163,267,1.89,0.600,4.2,0.6,1.2,12.0,10.00,LEFT
8,RP,Matt Grace,29,1,1,.500,2.87,56,0,12,0,0,0,59.2,55,22,19,5,13,2,48,2,0,1,247,149,3.39,1.140,8.3,0.8,2.0,7.2,3.69,LEFT
9,RP,Justin Miller,31,7,1,.875,3.61,51,0,10,0,0,2,52.1,42,22,21,10,17,1,60,2,0,1,215,118,4.44,1.127,7.2,1.7,2.9,10.3,3.53,RIGHT
10,RP,Ryan Madson,37,2,5,.286,5.28,49,0,10,0,0,4,44.1,48,28,26,6,15,2,41,4,0,2,195,81,4.36,1.421,9.7,1.2,3.0,8.3,2.73,RIGHT
11,RP,Sammy Solis,29,1,2,.333,6.41,56,0,5,0,0,0,39.1,43,28,28,7,18,1,44,4,0,4,177,67,4.91,1.551,9.8,1.6,4.1,10.1,2.44,LEFT
12,,Jefry Rodriguez,24,3,3,.500,5.71,14,8,2,0,0,0,52.0,43,35,33,8,37,5,39,3,0,2,233,75,5.97,1.538,7.4,1.4,6.4,6.8,1.05,RIGHT
13,,Wander Suero,26,4,1,.800,3.59,40,0,11,0,0,0,47.2,43,20,19,4,15,2,47,4,1,3,200,119,3.47,1.217,8.1,0.8,2.8,8.9,3.13,RIGHT
14,,Brandon Kintzler,33,1,2,.333,3.59,45,0,8,0,0,2,42.2,40,17,17,2,13,3,31,3,0,1,175,119,3.44,1.242,8.4,0.4,2.7,6.5,2.38,RIGHT
15,,Shawn Kelley,34,1,0,1.000,3.34,35,0,12,0,0,0,32.1,26,12,12,7,5,1,32,1,0,0,128,128,4.55,0.959,7.2,1.9,1.4,8.9,6.40,RIGHT
16,,Tommy Milone,31,1,1,.500,5.81,5,4,1,0,0,0,26.1,37,17,17,7,1,0,23,1,0,0,118,74,5.10,1.443,12.6,2.4,0.3,7.9,23.00,LEFT
17,,Tim Collins,28,0,0,,4.37,38,0,5,0,0,0,22.2,23,11,11,5,12,0,21,0,0,1,99,98,5.76,1.544,9.1,2.0,4.8,8.3,1.75,LEFT
18,,Greg Holland,32,2,0,1.000,0.84,24,0,6,0,0,3,21.1,9,2,2,1,10,0,25,1,0,0,80,510,2.97,0.891,3.8,0.4,4.2,10.5,2.50,RIGHT
19,,Trevor Gott,25,0,2,.000,5.68,20,0,5,0,0,0,19.0,19,13,12,4,10,1,15,2,0,2,84,76,6.21,1.526,9.0,1.9,4.7,7.1,1.50,RIGHT
20,,Jimmy Cordero,26,1,2,.333,5.68,22,0,3,0,0,0,19.0,23,13,12,2,12,2,12,2,0,0,94,76,5.48,1.842,10.9,0.9,5.7,5.7,1.00,RIGHT
21,,Kelvin Herrera,28,1,2,.333,4.34,21,0,11,0,0,3,18.2,24,9,9,4,8,0,16,1,1,0,89,99,5.68,1.714,11.6,1.9,3.9,7.7,2.00,RIGHT
22,,Koda Glover,25,1,3,.250,3.31,21,0,6,0,0,1,16.1,13,6,6,1,10,1,9,0,0,0,71,131,4.69,1.408,7.2,0.6,5.5,5.0,0.90,RIGHT
23,,Joe Ross,25,0,2,.000,5.06,3,3,0,0,0,0,16.0,17,10,9,3,4,0,7,2,0,0,68,85,5.85,1.313,9.6,1.7,2.3,3.9,1.75,RIGHT
24,,Austin Voth,26,1,1,.500,6.57,4,2,0,0,0,0,12.1,12,9,9,3,6,0,11,0,0,1,55,66,6.00,1.459,8.8,2.2,4.4,8.0,1.83,RIGHT
25,,A.J. Cole,26,1,1,.500,13.06,4,2,1,0,0,0,10.1,16,15,15,6,6,0,10,0,0,0,53,34,10.51,2.129,13.9,5.2,5.2,8.7,1.67,RIGHT
26,,Carlos Torres,35,0,0,,6.52,10,0,9,0,0,0,9.2,9,7,7,3,3,0,9,1,0,0,41,67,6.57,1.241,8.4,2.8,2.8,8.4,3.00,RIGHT
27,,Austen Williams,25,0,1,.000,5.59,10,0,4,0,0,0,9.2,10,6,6,5,6,2,8,0,0,1,44,79,10.09,1.655,9.3,4.7,5.6,7.4,1.33,RIGHT
28,,Kyle McGowin,26,0,0,,5.87,5,1,2,0,0,0,7.2,6,5,5,2,5,0,8,0,0,2,34,76,6.42,1.435,7.0,2.3,5.9,9.4,1.60,RIGHT
29,,Enny Romero,27,0,0,,13.50,2,0,0,0,0,0,2.0,5,3,3,1,1,0,2,1,0,0,13,37,10.66,3.000,22.5,4.5,4.5,9.0,2.00,LEFT
30,,Austin Adams,27,0,0,,0.00,2,0,0,0,0,0,1.0,1,0,0,0,3,0,0,0,0,0,7,,12.16,4.000,9.0,0.0,27.0,0.0,0.00,RIGHT
31,,Mark Reynolds,34,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.16,0.000,0.0,0.0,0.0,0.0,,RIGHT
